match_id,shock_type,is_ai,did_win,fight_start,current_gold_lead,gadv_d30,gadv_d60,gadv_d120,gadv_d180
4080601137,negative,1,1,504,-2643,0,52,-742,-1724
4080601137,positive,0,0,504,2643,0,-52,742,1724
4080601137,positive,1,1,690,-4367,1121,1121,780,920
4080601137,negative,0,0,690,4367,-1121,-1121,-780,-920
4080601137,positive,1,1,853,-3447,0,268,-1735,-1448
4080601137,negative,0,0,853,3447,0,-268,1735,1448
4080601137,negative,1,1,895,-3447,268,268,-1735,-1448
4080601137,positive,0,0,895,3447,-268,-268,1735,1448
4080601137,negative,1,1,998,-5182,287,287,-400,-327
4080601137,positive,0,0,998,5182,-287,-287,400,327
4080601137,positive,1,1,1466,-5224,0,1745,4512,4586
4080601137,negative,0,0,1466,5224,0,-1745,-4512,-4586
4080601137,positive,1,1,1889,1664,0,-274,915,758
4080601137,negative,0,0,1889,-1664,0,274,-915,-758
4080601137,positive,1,1,2014,2579,-157,-157,-157,-157
4080601137,negative,0,0,2014,-2579,157,157,157,157
4080420268,positive,1,1,745,-219,0,40,-60,-485
4080420268,negative,0,0,745,219,0,-40,60,485
4080420268,negative,1,1,849,-279,0,-425,320,165
4080420268,positive,0,0,849,279,0,425,-320,-165
4080420268,negative,1,1,1045,-114,0,-434,-1134,-954
4080420268,positive,0,0,1045,114,0,434,1134,954
4080420268,positive,1,1,1620,5863,0,4176,9866,10818
4080420268,negative,0,0,1620,-5863,0,-4176,-9866,-10818
4080316101,negative,0,0,762,-237,634,634,1262,585
4080316101,positive,1,1,762,237,-634,-634,-1262,-585
4080316101,negative,0,0,1190,-184,378,378,-1262,-1610
4080316101,positive,1,1,1190,184,-378,-378,1262,1610
4080316101,negative,0,0,1718,-2370,-543,-543,-1844,-2517
4080316101,positive,1,1,1718,2370,543,543,1844,2517
4080316101,positive,0,0,2194,-7576,1467,1467,5449,5342
4080316101,negative,1,1,2194,7576,-1467,-1467,-5449,-5342
4078566725,positive,0,1,441,384,0,351,647,602
4078566725,negative,0,0,441,-384,0,-351,-647,-602
4078566725,negative,0,1,900,222,0,-754,-386,-505
4078566725,positive,0,0,900,-222,0,754,386,505
4078566725,positive,0,1,1325,1006,0,2254,3358,3952
4078566725,negative,0,0,1325,-1006,0,-2254,-3358,-3952
4078566725,positive,0,1,1523,4958,0,-585,170,-1145
4078566725,negative,0,0,1523,-4958,0,585,-170,1145
4078566725,positive,0,1,1783,4176,1086,1086,4882,6269
4078566725,negative,0,0,1783,-4176,-1086,-1086,-4882,-6269
4078566725,positive,0,1,2002,14746,0,2713,2713,2713
4078566725,negative,0,0,2002,-14746,0,-2713,-2713,-2713
4078478649,positive,0,1,585,970,-252,-252,898,-141
4078478649,negative,0,0,585,-970,252,252,-898,141
4078478649,positive,0,1,1682,1495,0,1975,1758,927
4078478649,negative,0,0,1682,-1495,0,-1975,-1758,-927
4078478649,positive,0,1,1951,3122,-896,-896,-962,270
4078478649,negative,0,0,1951,-3122,896,896,962,-270
4078478649,positive,0,1,2560,8843,-237,-237,-1684,-1602
4078478649,negative,0,0,2560,-8843,237,237,1684,1602
4078478649,positive,0,1,2637,8606,-1447,-1447,-1365,-1548
4078478649,negative,0,0,2637,-8606,1447,1447,1365,1548
4078478649,negative,0,1,2694,7159,82,82,-101,-509
4078478649,positive,0,0,2694,-7159,-82,-82,101,509
4078478649,negative,0,1,3463,12363,904,904,-3917,-4235
4078478649,positive,0,0,3463,-12363,-904,-904,3917,4235
4078478649,positive,0,1,3753,10255,4403,4403,10820,10820
4078478649,negative,0,0,3753,-10255,-4403,-4403,-10820,-10820
4078412913,positive,0,1,1369,-5972,-447,-447,5101,3846
4078412913,negative,0,0,1369,5972,447,447,-5101,-3846
4078412913,negative,0,1,1563,-1275,0,-1255,-1263,-1224
4078412913,positive,0,0,1563,1275,0,1255,1263,1224
4078412913,negative,0,1,2653,-5181,0,-321,-1484,-1853
4078412913,positive,0,0,2653,5181,0,321,1484,1853
4078412913,negative,0,1,3219,-10327,-834,-834,-1967,-1903
4078412913,positive,0,0,3219,10327,834,834,1967,1903
4078412913,positive,0,1,3320,-12294,0,64,6264,9989
4078412913,negative,0,0,3320,12294,0,-64,-6264,-9989
4078412913,positive,0,1,3349,-12294,64,64,6264,9989
4078412913,negative,0,0,3349,12294,-64,-64,-6264,-9989
4078363316,negative,0,0,422,-276,0,236,587,682
4078363316,positive,0,1,422,276,0,-236,-587,-682
4078363316,negative,0,0,739,286,0,-745,-381,-19
4078363316,positive,0,1,739,-286,0,745,381,19
4078363316,negative,0,0,927,267,0,321,-231,982
4078363316,positive,0,1,927,-267,0,-321,231,-982
4078363316,positive,0,0,1025,36,0,1213,1460,2649
4078363316,negative,0,1,1025,-36,0,-1213,-1460,-2649
4078363316,positive,0,0,1154,1496,0,1189,2118,2268
4078363316,negative,0,1,1154,-1496,0,-1189,-2118,-2268
4078363316,positive,0,0,1285,3614,0,150,-2597,-3401
4078363316,negative,0,1,1285,-3614,0,-150,2597,3401
4078363316,negative,0,0,1318,3614,150,150,-2597,-3401
4078363316,positive,0,1,1318,-3614,-150,-150,2597,3401
4078363316,negative,0,0,1559,-128,-631,-631,-2492,-3802
4078363316,positive,0,1,1559,128,631,631,2492,3802
4078363316,negative,0,0,1638,-2620,0,-1310,-4145,-4014
4078363316,positive,0,1,1638,2620,0,1310,4145,4014
4078291886,positive,0,0,131,-700,0,-194,-697,60
4078291886,negative,0,1,131,700,0,194,697,-60
4078291886,negative,0,0,453,-2074,-275,-275,-1074,41
4078291886,positive,0,1,453,2074,275,275,1074,-41
4078291886,positive,0,0,564,-3148,0,1115,2507,2429
4078291886,negative,0,1,564,3148,0,-1115,-2507,-2429
4078291886,negative,0,0,790,-953,0,-57,-964,-302
4078291886,positive,0,1,790,953,0,57,964,302
4078291886,positive,0,0,906,-1917,0,662,-1479,-1168
4078291886,negative,0,1,906,1917,0,-662,1479,1168
4078291886,positive,0,0,1066,-3396,311,311,2490,2121
4078291886,negative,0,1,1066,3396,-311,-311,-2490,-2121
4078291886,positive,0,0,1188,-906,-369,-369,996,1113
4078291886,negative,0,1,1188,906,369,369,-996,-1113
4078291886,negative,0,0,1470,-580,33,33,-1062,-1219
4078291886,positive,0,1,1470,580,-33,-33,1062,1219
4078291886,positive,0,0,1799,-4794,-943,-943,1645,1728
4078291886,negative,0,1,1799,4794,943,943,-1645,-1728
4078291886,positive,0,0,2132,-4395,-1140,-1140,102,310
4078291886,negative,0,1,2132,4395,1140,1140,-102,-310
4078291886,negative,0,0,2272,-4293,208,208,695,-314
4078291886,positive,0,1,2272,4293,-208,-208,-695,314
4078291886,negative,0,0,2668,-10425,0,61,-2768,-7747
4078291886,positive,0,1,2668,10425,0,-61,2768,7747
4078291886,negative,0,0,2847,-18172,0,-97,-97,-97
4078291886,positive,0,1,2847,18172,0,97,97,97
4078180258,positive,0,0,669,285,0,-149,65,-152
4078180258,negative,0,1,669,-285,0,149,-65,152
4078180258,negative,0,0,817,350,-217,-217,-1751,-3248
4078180258,positive,0,1,817,-350,217,217,1751,3248
4078180258,negative,0,0,1354,-2715,-1120,-1120,-3755,-6276
4078180258,positive,0,1,1354,2715,1120,1120,3755,6276
4078180258,negative,0,0,1410,-3835,-2635,-2635,-5156,-5831
4078180258,positive,0,1,1410,3835,2635,2635,5156,5831
4078180258,negative,0,0,1627,-10064,0,-2507,-4177,-3643
4078180258,positive,0,1,1627,10064,0,2507,4177,3643
4078180258,negative,0,0,2425,-25554,0,-4697,-8928,-8928
4078180258,positive,0,1,2425,25554,0,4697,8928,8928
4078079157,negative,0,0,332,-1211,-112,-112,-1066,-1577
4078079157,positive,0,1,332,1211,112,112,1066,1577
4078079157,negative,0,0,382,-1323,0,-954,-1465,-2186
4078079157,positive,0,1,382,1323,0,954,1465,2186
4078079157,positive,0,0,700,-4458,-104,-104,381,271
4078079157,negative,0,1,700,4458,104,104,-381,-271
4078079157,negative,0,0,1035,-5852,0,-1743,86,-635
4078079157,positive,0,1,1035,5852,0,1743,-86,635
4078079157,positive,0,0,1597,-4851,2470,2470,6929,7298
4078079157,negative,0,1,1597,4851,-2470,-2470,-6929,-7298
4078079157,negative,0,0,1961,-923,697,697,-924,-1780
4078079157,positive,0,1,1961,923,-697,-697,924,1780
4078079157,negative,0,0,2075,-1847,-856,-856,-3596,-3280
4078079157,positive,0,1,2075,1847,856,856,3596,3280
4078079157,positive,0,0,2786,-16164,0,584,-2020,-629
4078079157,negative,0,1,2786,16164,0,-584,2020,629
4076431752,negative,0,0,474,-1359,-569,-569,-530,-632
4076431752,positive,0,1,474,1359,569,569,530,632
4076431752,positive,0,0,593,-1889,-102,-102,-1427,-753
4076431752,negative,0,1,593,1889,102,102,1427,753
4076431752,negative,0,0,1955,-9710,456,456,-1828,-2659
4076431752,positive,0,1,1955,9710,-456,-456,1828,2659
4076431752,negative,0,0,1979,-9710,456,456,-1828,-2659
4076431752,positive,0,1,1979,9710,-456,-456,1828,2659
4076314248,positive,0,1,203,130,0,310,36,513
4076314248,negative,0,0,203,-130,0,-310,-36,-513
4076314248,positive,0,1,1251,-1002,-585,-585,2127,1341
4076314248,negative,0,0,1251,1002,585,585,-2127,-1341
4076314248,negative,0,1,1611,1046,-93,-93,-2950,-2937
4076314248,positive,0,0,1611,-1046,93,93,2950,2937
4076314248,negative,0,1,2055,-2851,0,-626,-3703,-2602
4076314248,positive,0,0,2055,2851,0,626,3703,2602
4076314248,positive,0,1,2138,-3477,-3077,-3077,-1976,-3567
4076314248,negative,0,0,2138,3477,3077,3077,1976,3567
4076314248,negative,0,1,2166,-6554,0,1101,-490,-1410
4076314248,positive,0,0,2166,6554,0,-1101,490,1410
4076314248,negative,0,1,2745,-13017,473,473,-765,-1822
4076314248,positive,0,0,2745,13017,-473,-473,765,1822
4076314248,positive,0,1,2954,-15797,0,1997,4555,10267
4076314248,negative,0,0,2954,15797,0,-1997,-4555,-10267
4076314248,positive,0,1,3246,-5175,0,6113,6113,6113
4076314248,negative,0,0,3246,5175,0,-6113,-6113,-6113
4076257095,positive,0,1,1543,14030,1518,1518,1835,2156
4076257095,negative,0,0,1543,-14030,-1518,-1518,-1835,-2156
4076257095,negative,0,1,1589,15548,0,317,638,2185
