match_id,is_openai5,fight_start,kill_delta_radiant,gadv_d30,gadv_d60,gadv_d120,gadv_d180
4693543125,True,703,-3,1013,1013,691,1831
4693543125,True,1015,3,-518,-518,1093,2478
4693543125,True,1115,-2,1385,1385,-703,-70
4693543125,True,1440,3,0,2978,3889,7387
4693543125,True,1544,3,911,911,4409,520
4080601137,True,404,0,-68,-68,-1128,-1076
4080601137,True,504,-2,0,52,-742,-1724
4080601137,True,690,3,1121,1121,780,920
4080601137,True,853,1,0,268,-1735,-1448
4080601137,True,895,-1,268,268,-1735,-1448
4080601137,True,998,-1,287,287,-400,-327
4080601137,True,1235,0,293,293,720,725
4080601137,True,1466,2,0,1745,4512,4586
4080601137,True,1889,3,0,-274,915,758
4080601137,True,2014,2,-157,-157,-157,-157
4080420268,True,745,1,0,40,-60,-485
4080420268,True,849,-3,0,-425,320,165
4080420268,True,1045,-5,0,-434,-1134,-954
4080420268,True,1362,0,268,268,1783,2604
4080420268,True,1620,6,0,4176,9866,10818
4080316101,True,624,0,0,-160,299,933
4080316101,True,762,-3,634,634,1262,585
4080316101,True,1190,-5,378,378,-1262,-1610
4080316101,True,1718,-3,-543,-543,-1844,-2517
4080316101,True,2084,0,-2248,-2248,654,2121
4080316101,True,2194,2,1467,1467,5449,5342
2569610900,False,540,1,0,622,667,-246
2569610900,False,739,1,0,909,857,1807
2569610900,False,884,3,950,950,2944,2723
2569610900,False,1694,-3,0,-1532,-2187,-5423
2569610900,False,1917,1,-522,-522,62,831
2569610900,False,2155,-3,-3526,-3526,-8177,-10543
2569531910,False,57,0,165,165,28,-265
2569531910,False,808,-1,0,1215,1453,2688
2569531910,False,1498,-3,557,557,-2519,-3233
2569531910,False,2088,3,1011,1011,3847,3307
2569531910,False,2260,0,3682,3682,1751,2108
2569531910,False,2448,-2,4132,4132,3589,3516
2569531910,False,2601,0,0,-385,464,464
2569470828,False,1015,1,-274,-274,-32,1099
2569470828,False,1229,-1,0,-360,-356,-504
2569470828,False,2246,3,0,-475,3765,6561
